,year,per capita income
0,2019,40460.22901919484
1,2020,41288.69409441762
2,2021,42117.15916964039
3,2023,43774.08932008571
4,2045,62000.32097498537
5,2050,66142.64635109878
6,2060,74427.29710332607
7,3000,853184.4678126739
